# Congo (Brazzaville)
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
13.86006392 -0.20334645
13.87546349 -0.09079518
13.89065637 0.07529287
13.88461022 0.19084138
13.91515099 0.28396231
13.94961917 0.35382884
14.02532515 0.42772614
14.06552941 0.51500764
14.08754357 0.53655671
14.23099735 0.55112946
14.28308719 0.58745799
14.32422163 0.62419994
14.34148156 0.67380931
14.39067752 0.75571646
14.43444746 0.81147533
14.43920169 0.84909577
14.42984826 0.901444
14.38644006 1.00443513
14.33445357 1.090218
14.3030343 1.12086213
14.23973067 1.32255524
14.18087121 1.37020091
14.06620121 1.3958841
13.8513306 1.41875092
13.72115767 1.3822932
13.52334028 1.31459707
13.37234175 1.26777823
13.27410485 1.24100983
13.21627892 1.24845124
13.19013065 1.27925039
13.22837121 1.30539867
13.24738814 1.36668692
13.22279015 1.45461437
13.18454959 1.53504873
13.16274214 1.64811677
13.17214725 1.78857331
13.20945764 1.92039989
13.28862593 2.09170726
13.29358687 2.1615738
13.53346887 2.15950674
13.77273075 2.15741385
14.03436852 2.15891246
14.2870146 2.16033356
14.48410851 2.15472667
14.57893477 2.19914256
14.66911014 2.13206656
14.71324181 2.11713207
14.72833133 2.12240306
14.76290287 2.0751708
14.87504072 2.0804418
14.89281742 2.06933137
14.90242923 2.01228059
15.00640222 2.01375336
15.05782027 2.00086009
15.09957482 2.00235871
15.16003625 2.03558666
15.20349613 2.02445038
15.28245772 1.98171398
15.33878503 1.94471365
15.41748823 1.95675426
15.60031945 1.95037222
15.74160282 1.9149997
15.88164595 1.81658194
15.97518029 1.76002208
16.05941288 1.67622875
16.09031538 1.69126659
16.11956424 1.71410757
16.1361007 1.72421031
16.13496382 1.79596304
16.08793827 1.91807445
16.06959313 2.0216857
16.08003177 2.10679678
16.11574019 2.16782665
16.17661502 2.2047753
16.18260949 2.26244619
16.18343631 2.27006847
16.25175256 2.40680431
16.31965539 2.542765
16.40125248 2.70102407
16.46858687 2.83171377
16.45959517 2.89651602
16.46620975 2.99322846
16.48005903 3.10099966
16.47680342 3.16515595
16.49628543 3.20882254
16.54310428 3.3695104
16.57038944 3.46307058
16.61069706 3.50536774
16.67338057 3.53518504
16.76433109 3.53627025
17.00250777 3.55668244
17.22471642 3.59841116
17.29845869 3.6171697
17.43798506 3.68463329
17.49157352 3.68729462
17.53772057 3.66163727
17.80659305 3.5841743
17.88033532 3.55384024
17.90715539 3.55838776
17.94797977 3.55174734
18.01071496 3.550843
18.07226159 3.56029979
18.1112773 3.55107555
18.16099002 3.49978669
18.19395959 3.50541942
18.23705773 3.54267813
18.31818973 3.5807895
18.47445926 3.6229833
18.49978071 3.60409557
18.55383426 3.51019949
18.6103166 3.47844432

