# United Kingdom
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-7.54294491 56.97238841
-7.52294613 57.00680492
-7.45545671 57.01894888
-7.4067 57.00029369
-7.3989227 56.98334382
-7.41690609 56.9654121

-6.27904273 56.96471446
-6.30875668 56.95179536
-6.34622209 56.95427582
-6.38340329 56.9708898
-6.43259925 57.01794119
-6.32237342 57.05052318
-6.27821591 57.0314029
-6.26126604 57.00951793
-6.26051673 56.98525585
-6.27904273 56.96471446

-7.24986203 57.11535126
-7.29205583 57.10974437
-7.34740129 57.11511872
-7.3814819 57.13067333
-7.41592424 57.19214244
-7.4223838 57.22932364
-7.4070359 57.2984667
-7.41057573 57.38109732
-7.29637082 57.38368114
-7.26712195 57.37176972
-7.24753659 57.12635834
-7.24986203 57.11535126

-6.14473568 57.50496573
-6.14613095 57.46078238
-6.16377845 57.40884756
-6.14080827 57.35365713
-6.13553728 57.31427969
-6.09339515 57.30172232
-6.06763445 57.28353221
-5.8802557 57.26322338
-5.70600277 57.26895946
-5.67246477 57.25268138
-5.66864071 57.22689484
-5.69621009 57.19844697
-5.79542884 57.14653799
-5.91374203 57.06266714
-5.94908871 57.04514883
-5.98732927 57.04442536
-6.01471778 57.05197012
-6.03435482 57.20121166
-6.16274492 57.18214305
-6.26609778 57.18431346
-6.32270932 57.20250357
-6.36239682 57.23748851
-6.44241777 57.32750886
-6.67545264 57.36290721
-6.74131426 57.41246491
-6.76113217 57.44238557
-6.75270891 57.45892202
-6.70421058 57.49576732
-6.64346493 57.48264151
-6.60587033 57.49065135
-6.58300351 57.5071103
-6.58349443 57.52067536
-6.61530128 57.55271475
-6.61679989 57.5626883
-6.37851986 57.60330598
-6.35766842 57.66679047
-6.30594031 57.67198395
-6.24692583 57.65121003
-6.16607805 57.58529674
-6.14473568 57.50496573

-7.20554949 57.68293936
-7.09279151 57.62666372
-7.18260515 57.53331025
-7.32055539 57.5337495
-7.51472958 57.60196239
-7.51563392 57.61586335
-7.49940752 57.63632722
-7.47028785 57.65255362
-7.4400313 57.65637767
-7.3918947 57.64521556
-7.32487037 57.66312145
-7.27120439 57.65746288
-7.20554949 57.68293936

-6.19868588 58.36325959
-6.32583574 58.18885163
-6.37560014 58.18456249
-6.41929257 58.14094758
-6.55460731 58.0928885
-6.43650082 58.09190664
-6.40337623 58.07588695
-6.40244605 58.04136709
-6.42518368 58.02126496
-6.57812008 57.9413732
-6.68330746 57.91103913
-6.7965822 57.82753002
-6.85376217 57.82649649
-6.91032203 57.77337311
-6.95690833 57.75006704
-6.98308244 57.75001537
-7.01315813 57.76174592
-7.08343808 57.81378408
-6.95595232 57.86489208
-6.94411841 57.89365001
-6.85683692 57.92354483
-6.86417497 57.93284658
-7.00253862 57.9749112
-7.0570831 58.00317821
-7.05191545 58.01795767
-6.98530453 58.05051382
-7.01690467 58.05477713
-7.03824704 58.07232128
-7.07690101 58.07898754
-7.08845069 58.09534313
-7.09558204 58.1382604
-7.08527259 58.18218537
-7.0449133 58.20156403
-7.02840268 58.22231212
-7.01207292 58.22869416
-6.94954444 58.21768708
-6.88621497 58.18257294
-6.81229184 58.19608633
-6.72648312 58.18939423
-6.72472612 58.19753327
-6.78774553 58.28388459
-6.77648007 58.30150625
-6.74227027 58.32160838
-6.54419451 58.38315502
-6.29718116 58.48661123
-6.2374432 58.50283763
-6.21940813 58.48872997
-6.19426754 58.43508983
-6.19868588 58.36325959

-3.10967546 58.51549836
-3.10112301 58.43369457
-3.11290524 58.40886404
-3.13677975 58.37832327
-3.21235653 58.32124665
-3.41100074 58.23964956
-3.77500953 58.05211579
-3.99003516 57.95904654
-4.01964576 57.91424307
-4.03561378 57.85202464
-3.90683611 57.83967398
-3.85712338 57.81853832
-3.88792253 57.78691234
-4.07840186 57.67704824
-4.13452247 57.57772614
-3.98848487 57.58124014
-3.86818214 57.60036042
-3.62819678 57.66226879
-3.40278419 57.70823497
-3.29452206 57.71017284
-3.0839406 57.67348257
-3.03603655 57.67229401
-2.94668799 57.68926972
-2.85630591 57.69229279
-2.24412106 57.6808723
-2.07407976 57.7023697
-1.96150265 57.67663483
-1.86737403 57.61234935
-1.77792213 57.49375194
-1.78063514 57.47401154
-1.83471452 57.41995799
-1.93445004 57.35221019
-2.02033627 57.25888255
-2.04550269 57.20854971
-2.06234921 57.15346263
-2.08953101 57.10256135
-2.26026994 56.8633253
-2.42666806 56.73069774
-2.50097877 56.63656912
-2.59265276 56.56156078
-2.68096778 56.51440603
-2.77517392 56.48296092
