# Dominican Rep.
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-71.76832699 18.03915762
-71.76375363 18.20395376
-71.73724362 18.27082307
-71.76189328 18.34130972
-71.87258419 18.41621471
-71.94038367 18.51261709
-72.00038001 18.59788321
-71.98686662 18.61033723
-71.86648638 18.61416128
-71.82424089 18.64552888
-71.74321225 18.73288788
-71.72706336 18.80321951
-71.73362627 18.85639456
-71.78638791 18.92003408
-71.80711015 18.98700674
-71.74204953 19.04550446
-71.6570418 19.13074474
-71.64531125 19.1635076
-71.64722327 19.19596039
-71.7464937 19.28585155
-71.75315996 19.32445384
-71.70696123 19.42196727
-71.71145708 19.48658865
-71.75739743 19.68817841
-71.77923072 19.71815074
-71.73509905 19.73512645
-71.70608273 19.79517447
-71.66740292 19.8486079
-71.61595903 19.87744335
-71.55774553 19.89537507
-71.4417061 19.8939798
-71.28135413 19.84736766
-71.23595639 19.84816865
-71.08193478 19.89049164
-70.9541648 19.91397858
-70.83386207 19.88723603
-70.78523454 19.85085582
-70.68596412 19.7932366
-70.63619971 19.77564077
-70.47936174 19.77695852
-70.43641863 19.77124828
-70.30474708 19.67606029
-70.19384945 19.63805227
-70.12946062 19.63614025
-70.01404131 19.67293386
-69.95680966 19.67184866
-69.89120643 19.58976065
-69.878339 19.47328197
-69.82343279 19.36713858
-69.73940691 19.29923574
-69.32496192 19.3277353
-69.23248695 19.27184724
-69.26424211 19.22570018
-69.32276567 19.20105052
-69.51975623 19.21200593
-69.60595252 19.20647655
-69.62326413 19.16051036
-69.6236517 19.11782563
-69.50836158 19.10761953
-69.39526771 19.08607046
-69.28021013 19.0518865
-69.16303382 19.02845124
-69.03128476 19.01320669
-68.90137021 18.98845368
-68.6847426 18.90478954
-68.44542904 18.71446524
-68.38140194 18.67116039
-68.33915646 18.61149995
-68.35928443 18.53809357
-68.44483476 18.41773916
-68.4932039 18.37898184
-68.56376807 18.35546906
-68.61218889 18.3062731
-68.65882687 18.22204051
-68.68742978 18.214935
-68.72096778 18.21839733
-68.77848365 18.26612051
-68.81951474 18.33932018
-68.93495989 18.40802399
-69.07226417 18.399239
-69.27452572 18.43985668
-69.39699887 18.42014212
-69.51944617 18.41567211
-69.64470985 18.43636852
-69.77067115 18.44355154
-69.89639991 18.41771332
-70.01830461 18.37360749
-70.06331479 18.34565054
-70.14160458 18.27710175
-70.18312659 18.25175446
-70.47993018 18.21726044
-70.565403 18.26756745
-70.64467465 18.33621959
-70.75885373 18.34559886
-70.92432166 18.29247549
-71.02785539 18.27320018
-71.06997169 18.25033336
-71.08224484 18.22436595
-71.08263241 18.12835114
-71.106016 18.07003429
-71.2672723 17.84960847
-71.35830034 17.69411408
-71.39571408 17.64610668
-71.43894141 17.63561636
-71.51836809 17.72501659
-71.56906267 17.75736603
-71.63172034 17.77361827
-71.65830787 17.82113475
-71.6572485 17.88867585
-71.67375912 17.95409821
-71.71246477 18.00546459
-71.76832699 18.03915762

