# New Mexico
# from https://developers.google.com/kml/documentation/us_states.kml

-109.049495308693 32.4420444958635
-109.045615049533 31.3434530504803
-108.210647795015 31.3438536159949
-108.203254915468 31.7869032382901
-107.283567177026 31.7850830856735
-106.539514775671 31.7863052774039
-106.614986549809 31.8178343839605
-106.61612370633 31.8447405331725
-106.64407909206 31.8952054369513
-106.633748923526 31.9141010099202
-106.632605287073 31.9722199884253
-106.650061890884 31.9803297275266
-106.623625658904 32.0010887853062
-106.378387283311 32.0007470652221
-106.00324037618 32.0016580242852
-104.922304814538 32.004382108736
-104.85106805229 32.0032650272727
-104.019296949948 32.0074034895819
-103.981377077849 32.0060152222294
-103.729444279739 32.0062289025373
-103.332549418381 32.0042814747499
-103.058413767661 32.0020227787787
-103.055640531826 32.0851168230641
-103.060018185604 32.5155455179839
-103.049330863501 32.9536389141087
-103.043100992793 33.3778314740626
-103.038736452727 33.5658431867775
-103.033258497866 33.8261815911813
-103.029645833697 34.3078204763021
-103.022657024631 34.7453327558501
-103.025251273923 34.9647798759331
-103.026151164684 35.1772655150643
-103.02229404801 35.6236480179456
-103.022612263713 35.742327299615
-103.024047954518 36.0560618512093
-103.027286789536 36.4915918464103
-102.997400999016 36.4923701848871
-102.997709442614 36.9985238353847
-103.07786588474 36.9997601837273
-103.993635035945 36.9944690622369
-105.146172547082 36.9932073726899
-105.213091465415 36.992604521715
-105.713459997846 36.9945603614965
-105.992000086492 36.992289650437
-106.472176939021 36.9915042439681
-106.86124887722 36.9895015941857
-106.89037023567 36.9990837907051
-107.410820543541 36.9975257849804
-107.472460293817 36.9987767566937
-108.372472924296 36.999471575633
-109.048480115363 36.9966409005893
-109.047846506598 35.9966639816639
-109.046640810431 34.9546462439613
-109.048652751175 34.5917805775226
-109.050349253456 33.7833019238717
-109.050525833602 33.205164822801
-109.051346155985 32.7795505537932
-109.049495308693 32.4420444958635

