# Northern Territory
135.46916 -25.99854
135.43663 -25.99854
135.4045 -25.99854
135.37233 -25.99854
135.3402 -25.99853
135.31074 -25.99853
135.27592 -25.99854
135.24377 -25.99855
135.21429 -25.99854
135.17947 -25.99854
135.14733 -25.99854
135.11519 -25.99854
135.08305 -25.99853
135.05741 -25.99854
135.03484 -25.99854
135.00268 -25.99854
134.97053 -25.99854
134.93838 -25.99855
134.90623 -25.99854
134.87406 -25.99854
134.84191 -25.99854
134.80976 -25.99854
134.77762 -25.99854
134.74547 -25.99854
134.71332 -25.99854
134.68117 -25.99854
134.64902 -25.99854
134.61687 -25.99854
134.58472 -25.99854
134.55257 -25.99854
134.52043 -25.99854
134.48828 -25.99854
134.45613 -25.99854
134.42398 -25.99854
134.39184 -25.99854
134.35969 -25.99854
134.32754 -25.99854
134.29539 -25.99854
134.26324 -25.99854
134.2311 -25.99854
134.19895 -25.99854
134.15071 -25.99854
134.11857 -25.99856
134.08643 -25.99856
134.05428 -25.99856
134.02213 -25.99856
134.0013 -25.99856
133.9739 -25.99856
133.94175 -25.99856
133.9096 -25.99856
133.87746 -25.99856
133.84531 -25.99856
133.81316 -25.99856
133.78101 -25.99856
133.74887 -25.99856
133.71672 -25.99856
133.68457 -25.99856
133.65242 -25.99856
133.62027 -25.99856
133.58812 -25.99856
133.55597 -25.99856
133.52382 -25.99857
133.5013 -25.99857
133.4756 -25.99857
133.44345 -25.99857
133.4113 -25.99857
133.37916 -25.99857
133.34701 -25.99857
133.31486 -25.99857
133.28271 -25.99858
133.25056 -25.99858
133.21841 -25.99858
133.18627 -25.99858
133.15412 -25.99858
133.12197 -25.99858
133.08982 -25.99858
133.05767 -25.99859
133.02552 -25.99859
133.0013 -25.99859
132.9773 -25.99858
132.94515 -25.99858
132.91301 -25.99858
132.88086 -25.99858
132.84871 -25.99858
132.81656 -25.99858
132.78441 -25.99858
132.75226 -25.99858
132.72011 -25.99858
132.68796 -25.99858
132.65581 -25.99858
132.62366 -25.99858
132.59152 -25.99858
132.55937 -25.99858
132.52722 -25.99858
132.50131 -25.99858
132.479 -25.99858
132.44685 -25.99858
132.4147 -25.99858
132.38255 -25.99857
132.3504 -25.99858
132.31825 -25.99858
132.2861 -25.99858
132.25396 -25.99858
132.22181 -25.99858
132.18966 -25.99858
132.15751 -25.99858
132.12536 -25.99858
132.09321 -25.99858
132.06107 -25.99858
132.02891 -25.99857
132.00131 -25.99857
131.98069 -25.99857
131.94854 -25.99857
131.91639 -25.99858
131.88424 -25.99859
131.85209 -25.99859
131.81994 -25.99859
131.7878 -25.99859
131.75565 -25.99859
131.7235 -25.99859
131.69135 -25.99859
131.65921 -25.99858
131.62706 -25.99859
131.59491 -25.99859
131.56276 -25.99859
131.53061 -25.99859
131.50132 -25.99859
131.46632 -25.99859
131.43417 -25.99859
131.40202 -25.99859
131.36987 -25.99859
131.33772 -25.99859
131.30558 -25.99859
131.27343 -25.99859
131.24128 -25.99859
131.20913 -25.99859
131.17698 -25.99859
131.14483 -25.99859
131.09637 -25.99859
131.04839 -25.99859
131.01624 -25.99859
130.98409 -25.99859
130.95194 -25.99859
130.91979 -25.99859
130.88764 -25.99859
130.8555 -25.99859
130.82335 -25.99859
130.7912 -25.9986
130.75905 -25.9986
130.72689 -25.99859
130.69474 -25.99859
130.66259 -25.99859
130.63044 -25.99859
130.5983 -25.99859
130.56615 -25.99859
130.53401 -25.99859
130.50187 -25.99859
130.46972 -25.99859
130.43757 -25.99859
130.40542 -25.99859
130.37328 -25.99859
130.34113 -25.99859
130.30898 -25.99858
130.27685 -25.99857
130.18579 -25.99857
130.10246 -25.99857
130.01913 -25.99857
129.9358 -25.99857
129.85247 -25.99857
129.76914 -25.99857
129.68581 -25.99858
129.60248 -25.99858
129.51915 -25.99858
129.43582 -25.99859
129.40368 -25.9986
129.37153 -25.99861
129.33938 -25.99862
129.30723 -25.99861
129.27509 -25.99861
129.24294 -25.99861
129.21079 -25.99861
129.17866 -25.99861
129.14651 -25.99861
129.11436 -25.99861
129.08221 -25.99861
129.05008 -25.99861
129.01794 -25.99861
129.0006 -25.91528
129.0006 -25.83195
129.00061 -25.74862
129.00062 -25.66529
129.00063 -25.58196
129.00064 -25.49863
129.00065 -25.4153
129.00066 -25.33197
129.00067 -25.24864
129.00068 -25.16531
129.00069 -25.08197
129.0007 -24.99864
129.0007 -24.91531
129.0007 -24.83198
129.00071 -24.74865
129.00072 -24.66532
129.00073 -24.58199
129.00075 -24.49865
129.00076 -24.41532
129.00076 -24.33199
129.00077 -24.24866
129.00078 -24.16533
129.00079 -24.082
129.00079 -23.99868
129.0008 -23.91535
129.00081 -23.83202
129.00082 -23.74869
129.00083 -23.66536
129.00084 -23.58203
129.00085 -23.4987
129.00086 -23.41537
129.00087 -23.33204
129.00088 -23.24871
129.00089 -23.16538
129.0009 -23.08205
129.0009 -22.99872
129.00091 -22.91539
129.00092 -22.83205
129.00093 -22.74872
129.00094 -22.66539
129.00095 -22.58206
129.00096 -22.49873
129.00097 -22.4154
129.00098 -22.33207
129.00099 -22.24874
129.001 -22.16541
129.00101 -22.08208
129.00102 -21.99875
129.00102 -21.91542
129.00103 -21.83208
129.00104 -21.74875
129.00105 -21.66543
129.00106 -21.5821
129.00107 -21.49877
129.00108 -21.41544
129.00109 -21.33211
129.0011 -21.24878
129.00111 -21.16545
129.00112 -21.08212
129.00113 -20.99879
129.00114 -20.91546
129.00114 -20.83213
129.00115 -20.7488
129.00116 -20.66547
129.00117 -20.58214
129.00118 -20.49881
129.00119 -20.41548
129.0012 -20.33214
129.0012 -20.24881
129.00121 -20.16548
129.00122 -20.08215
129.00123 -19.99882
129.00125 -19.91549
129.00114 -19.81307
129.00103 -19.72974
129.00091 -19.64641
129.00081 -19.56308
129.00072 -19.49857
129.00059 -19.39642
129.00052 -19.33866
129.00052 -19.3165
129.00052 -19.28743
129.00052 -19.25835
129.00052 -19.22928
129.00052 -19.2002
129.00052 -19.17113
129.00052 -19.14205
129.00052 -19.11297
129.00052 -19.0839
129.00052 -19.05482
129.00052 -19.02574
129.00052 -18.99857
129.00052 -18.96759
129.00052 -18.93851
129.00052 -18.90943
129.00052 -18.88036
129.00052 -18.85128
129.00052 -18.8222
129.00052 -18.79312
129.00052 -18.76404
129.00052 -18.73497
129.00052 -18.70589
129.00052 -18.67681
129.00052 -18.64773
129.00052 -18.61865
129.00052 -18.58957
129.00052 -18.5605
129.00052 -18.53142
129.00052 -18.50234
129.00052 -18.47326
129.00051 -18.44418
129.00051 -18.4151
129.00051 -18.38602
129.00051 -18.35694
129.00051 -18.32786
129.00051 -18.29878
129.00051 -18.2697
129.00051 -18.24062
129.00051 -18.21154
129.00051 -18.18246
129.00051 -18.15338
129.00051 -18.12431
129.00051 -18.09523
129.00051 -18.06615
129.00051 -18.03707
129.00051 -18.00799
129.00051 -17.97891
129.00051 -17.94983
129.00051 -17.92075
129.00051 -17.89167
129.00051 -17.86259
129.00051 -17.83351
129.00051 -17.80443
129.00051 -17.77536
129.00051 -17.74627
129.0005 -17.71729
129.0005 -17.68812
129.0005 -17.65904
129.0005 -17.62995
129.0005 -17.60105
129.0005 -17.57178
129.0005 -17.5427
129.0005 -17.51344
129.0005 -17.48454
129.0005 -17.45546
129.0005 -17.42638
129.0005 -17.3973
129.0005 -17.36822
129.0005 -17.33914
129.0005 -17.31006
129.0005 -17.28098
129.0005 -17.25189
129.0005 -17.22281
129.0005 -17.19373
129.0005 -17.16465
129.0005 -17.13557
129.0005 -17.10649
129.00049 -17.07559
129.00049 -17.04832
129.00049 -17.01924
129.00049 -16.99856
129.00049 -16.97561
129.00049 -16.94653
129.00049 -16.91745
129.00049 -16.88837
129.00049 -16.85929
129.00049 -16.8302
129.00049 -16.80112
129.00049 -16.77204
129.00049 -16.74296
129.00049 -16.71387
129.00049 -16.68479
129.00049 -16.65571
129.00049 -16.62663
129.00049 -16.59755
129.00049 -16.56846
129.00049 -16.53938
129.00049 -16.5103
129.00049 -16.48121
129.00049 -16.45213
129.00049 -16.42304
129.00049 -16.39395
129.00049 -16.36487
129.00049 -16.33579
129.00049 -16.3067
129.00048 -16.27761
129.00049 -16.24853
129.00048 -16.21943
129.00049 -16.19036
129.00049 -16.16127
129.00049 -16.13219
129.00049 -16.1031
129.00049 -16.01585
129.00049 -15.98676
129.00049 -15.95767
129.00049 -15.92859
129.00049 -15.8995
129.00049 -15.87041
129.00049 -15.84133
129.00049 -15.81224
129.00049 -15.78315
129.00049 -15.75343
129.00049 -15.72498
129.00049 -15.69589
129.00049 -15.66681
129.00049 -15.63772
129.00048 -15.60863
129.00048 -15.57954
129.00048 -15.55046
129.00048 -15.52137
129.00048 -15.49856
129.00048 -15.47773
129.00048 -15.44865
129.00048 -15.41956
129.00048 -15.38929
129.00048 -15.36138
129.00048 -15.3323
129.00048 -15.30321
129.00048 -15.27412
129.00048 -15.24503
129.00048 -15.21594
129.00048 -15.18685
129.00048 -15.15776
129.00048 -15.12867
129.00048 -15.09958
129.00048 -15.07049
129.00075 -14.99856
129.0009 -14.9628
129.00124 -14.87947
129.02592 -14.88339
129.03761 -14.89221
129.04461 -14.90639
129.0354 -14.91778
129.05466 -14.90991
129.058 -14.89129
