# United States
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-155.58132484 19.01201813
-155.62561154 18.96390738
-155.68075029 18.96767976
-155.88130653 19.07051586
-155.90559445 19.12580964
-155.89073747 19.38253815
-155.96582333 19.59079418
-156.04868649 19.74995759
-155.98840593 19.83160635
-155.9088759 19.89470327
-155.8203025 20.01417919
-155.89275286 20.16739981
-155.87427853 20.25979727
-155.83161964 20.27581696
-155.6220717 20.16342072
-155.19879005 19.99438711
-155.08608375 19.87563467
-155.06592994 19.74820059
-154.98903541 19.73197419
-154.95257768 19.64464102
-154.84134416 19.5681599
-154.80418881 19.52444164
-154.85028419 19.45411001
-155.05347592 19.31918285
-155.30961016 19.26016836
-155.53522946 19.10906647
-155.58132484 19.01201813

-156.84959368 20.77263418
-156.90886654 20.74447053
-156.97341041 20.75754466
-156.98844825 20.82570588
-157.05056332 20.91247061
-156.94178443 20.93004059
-156.88054786 20.9048225
-156.84827593 20.87779572
-156.80938941 20.8311319
-156.84959368 20.77263418

-156.48682512 20.93257274
-156.46083188 20.91474437
-156.35440426 20.94146109
-156.27753557 20.95127961
-156.14834449 20.88549551
-156.10351518 20.84033031
-156.01863664 20.79206452
-155.98985287 20.75713125
-156.01357235 20.71480825
-156.10713253 20.64478669
-156.23474748 20.62861197
-156.30996253 20.59879466
-156.40879371 20.6051767
-156.43822344 20.61786327
-156.44886878 20.70622997
-156.48005551 20.80123709
-156.54382423 20.78999746
-156.61544776 20.82183015
-156.68968096 20.90141185
-156.69776832 20.94905752
-156.65686642 21.02450511
-156.58542375 21.03432364
-156.53230038 20.99267243
-156.48682512 20.93257274

-157.21360246 21.21539785
-157.00229753 21.18795767
-156.95235226 21.19968822
-156.91721229 21.17731232
-156.74221005 21.16351472
-156.7121602 21.15509146
-156.74789446 21.10357005
-156.85985145 21.0563378
-157.02087521 21.09778229
-157.29031613 21.11258759
-157.27948992 21.15235261
-157.25380673 21.18056794
-157.249931 21.2297639
-157.21360246 21.21539785

-157.79935482 21.45664928
-157.76499 21.45093903
-157.72088416 21.45770865
-157.70553626 21.37807526
-157.65416989 21.33391775
-157.63541134 21.30764029
-157.69088599 21.27973501
-157.79878638 21.26862458
-157.84932593 21.29084545
-157.90175168 21.34055817
-157.95844072 21.32691559
-157.96831092 21.36691315
-157.9784395 21.37848867
-158.01727434 21.36773998
-157.98097165 21.31611522
-158.07915687 21.31223949
-158.11034359 21.31859569
-158.13783546 21.37714509
-158.23909543 21.48933462
-158.23868201 21.53305288
-158.27312436 21.58524608
-158.12310767 21.60025808
-158.02034909 21.69180288
-157.96249732 21.70136302
-157.85149635 21.55336172
-157.85433855 21.51191722
-157.82958554 21.47145458
-157.79935482 21.45664928

-160.18001055 21.84107026
-160.20024187 21.79688691
-160.23471005 21.80368236
-160.24344337 21.8430598
-160.22091244 21.89726838
-160.16386166 21.94403555
-160.10063555 22.01524567
-160.04872657 22.004652
-160.07670936 21.95809154
-160.08004249 21.90744864
-160.15339718 21.87876822
-160.18001055 21.84107026

-159.372773 21.93235668
-159.46067461 21.87613272
-159.51186011 21.90036896
-159.60885678 21.90951569
-159.64637387 21.95173534
-159.74802141 21.98982087
-159.78918169 22.04180736
-159.72662737 22.14019929
-159.57922034 22.22313996
-159.35205075 22.21957429
-159.30479265 22.15404857
-159.30065854 22.10526602
-159.33019162 22.05069571
-159.34373084 21.97364615
-159.372773 21.93235668

-81.78383969 24.54457449
-81.80921282 24.5423524
-81.81140906 24.55780366
-81.7676908 24.57671723
-81.73864865 24.57542532
-81.73975969 24.55449636
-81.78383969 24.54457449

-81.56669532 24.59989411
-81.63149757 24.59002391
-81.57925269 24.62937552
-81.56230282 24.68913931
-81.53163286 24.64247549
-81.53222714 24.61415681
-81.56669532 24.59989411

-81.33479733 24.65048534
-81.3647955 24.62994396
-81.37903236 24.63627432
-81.37903236 24.66627249
-81.42166541 24.73259919
-81.42008928 24.74998831
-81.32231747 24.68508271
-81.319837 24.66761608
-81.33479733 24.65048534

-81.04419491 24.71681204
-81.09000607 24.69311839
-81.13736752 24.71050751
-81.08525184 24.73420116
-80.93048092 24.75947093
-80.98892697 24.7278708
-81.04419491 24.71681204

-80.82940182 24.80368012
-80.84836707 24.80368012
-80.83888445 24.81789114
-80.79940365 24.84631318
-80.78519263 24.83528026
-80.78676876 24.8210434
-80.82940182 24.80368012

-80.63830237 24.90318309
-80.66514828 24.8984547
-80.62566749 24.94108775
-80.61460873 24.93793549
-80.63830237 24.90318309

-80.38183224 25.14228994
-80.5805798 24.95423941
-80.55856564 25.00131664
-80.48105099 25.10195649
-80.45601376 25.14931794
-80.40366553 25.17934195
-80.35493466 25.23365388
-80.35129147 25.29695751
-80.28049476 25.34124421
-80.2570595 25.34760041
-80.38183224 25.14228994

-82.0371834 26.45363109
-82.07284014 26.42753449
-82.1449546 26.44665477
-82.18438371 26.48094208
-82.20138526 26.54804393
-82.1385984 26.47698884
-82.11606747 26.46091747
-82.0371834 26.45363109

-82.0837697 26.55233308
-82.08521664 26.49360281
-82.13560116 26.5919689
-82.16913917 26.70072195
-82.12113176 26.6655303
-82.0837697 26.55233308

-97.17070411 26.15938548
-97.18450172 26.11292837
-97.2673132 26.32976268
-97.40208533 26.82050792
-97.40717546 27.10020661
-97.38598813 27.19650564
-97.35123572 26.80146516
-97.20222673 26.29979035
-97.17070411 26.15938548

-97.35361284 27.30006521
-97.38482541 27.24252351
-97.37622128 27.32825471
-97.2950376 27.52307486
-97.13000892 27.77913158
