# United States
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
# deleted Hawaii, 
-81.78383969 24.54457449
-81.80921282 24.5423524
-81.81140906 24.55780366
-81.7676908 24.57671723
-81.73864865 24.57542532
-81.73975969 24.55449636
-81.78383969 24.54457449

-81.56669532 24.59989411
-81.63149757 24.59002391
-81.57925269 24.62937552
-81.56230282 24.68913931
-81.53163286 24.64247549
-81.53222714 24.61415681
-81.56669532 24.59989411

-81.33479733 24.65048534
-81.3647955 24.62994396
-81.37903236 24.63627432
-81.37903236 24.66627249
-81.42166541 24.73259919
-81.42008928 24.74998831
-81.32231747 24.68508271
-81.319837 24.66761608
-81.33479733 24.65048534

-81.04419491 24.71681204
-81.09000607 24.69311839
-81.13736752 24.71050751
-81.08525184 24.73420116
-80.93048092 24.75947093
-80.98892697 24.7278708
-81.04419491 24.71681204

-80.82940182 24.80368012
-80.84836707 24.80368012
-80.83888445 24.81789114
-80.79940365 24.84631318
-80.78519263 24.83528026
-80.78676876 24.8210434
-80.82940182 24.80368012

-80.63830237 24.90318309
-80.66514828 24.8984547
-80.62566749 24.94108775
-80.61460873 24.93793549
-80.63830237 24.90318309

-80.38183224 25.14228994
-80.5805798 24.95423941
-80.55856564 25.00131664
-80.48105099 25.10195649
-80.45601376 25.14931794
-80.40366553 25.17934195
-80.35493466 25.23365388
-80.35129147 25.29695751
-80.28049476 25.34124421
-80.2570595 25.34760041
-80.38183224 25.14228994

-82.0371834 26.45363109
-82.07284014 26.42753449
-82.1449546 26.44665477
-82.18438371 26.48094208
-82.20138526 26.54804393
-82.1385984 26.47698884
-82.11606747 26.46091747
-82.0371834 26.45363109

-82.0837697 26.55233308
-82.08521664 26.49360281
-82.13560116 26.5919689
-82.16913917 26.70072195
-82.12113176 26.6655303
-82.0837697 26.55233308

-97.17070411 26.15938548
-97.18450172 26.11292837
-97.2673132 26.32976268
-97.40208533 26.82050792
-97.40717546 27.10020661
-97.38598813 27.19650564
-97.35123572 26.80146516
-97.20222673 26.29979035
-97.17070411 26.15938548

-97.35361284 27.30006521
-97.38482541 27.24252351
-97.37622128 27.32825471
-97.2950376 27.52307486
-97.13000892 27.77913158
-97.06055579 27.82202302
-97.25090593 27.54118745
-97.35361284 27.30006521

-80.18675371 27.27843863
-80.17050147 27.20479971
-80.26245968 27.37556448
-80.37607032 27.64342927
-80.43689348 27.85054841
-80.39575904 27.79455699
-80.3555031 27.67862092
-80.18675371 27.27843863

-97.01435706 27.90163056
-97.03600949 27.89917593
-96.98764035 27.9810314
-96.97867449 28.01384593
-96.89929949 28.11745718
-96.85741574 28.13290843
-96.83976824 28.0888026
-96.92133948 28.01604218
-97.01435706 27.90163056

-96.76439816 28.15257132
-96.80111426 28.14841136
-96.75561317 28.20243907
-96.68163835 28.22969839
-96.51932268 28.33346467
-96.45312517 28.34059601
-96.41863115 28.37633027
-96.40356747 28.38157543
-96.41333432 28.33780549
-96.54389482 28.27558706
-96.76439816 28.15257132

-95.03969723 29.14592154
-95.08966834 29.13630972
-94.87167131 29.29015046
-94.82598935 29.34131013
-94.76762082 29.33903636
-94.86495338 29.25289175
-95.03969723 29.14592154

-91.79369381 29.50073192
-91.83084917 29.48646922
-91.99623959 29.57310476
-92.00665239 29.61028596
-91.92502947 29.64392731
-91.87523922 29.64098176
-91.79651018 29.59695344
-91.76767473 29.58470612
-91.75431637 29.56687775
-91.76188697 29.53899832
-91.79369381 29.50073192

-84.90788673 29.6426354
-85.0082682 29.60661693
-85.11673703 29.63279104
-85.04932512 29.63777782
-85.00054257 29.62718415
-84.87698422 29.67867971
-84.81218197 29.71764374
-84.73717363 29.73244904
-84.90788673 29.6426354

-88.88929745 29.71257945
-88.94358354 29.66023123
-88.94110307 29.68020417
-88.90115719 29.73262991
-88.87265764 29.75299042
