# Guinea Bissau
# from http://www.rjruss.info/2010/12/free-countries-of-world-in-polygon-kml.html
-15.89589759 11.0824763
-15.90517351 11.05472606
-15.96398129 11.05896353
-15.95064877 11.08712718
-15.96346452 11.09529206
-15.94651466 11.17973135
-15.93770382 11.19275381
-15.90912676 11.16133454
-15.90527686 11.14836376
-15.89589759 11.0824763

-16.1144889 11.05940278
-16.19456153 11.04459748
-16.23101925 11.09423269
-16.23641944 11.11343049
-16.19461321 11.13014781
-16.17585466 11.13079377
-16.14402198 11.16686392
-16.10479957 11.19099681
-16.08743629 11.19879995
-16.06733415 11.19719798
-16.05278724 11.11751293
-16.07221758 11.08410411
-16.1144889 11.05940278

-15.72513282 11.21549144
-15.72513282 11.17451203
-15.76750749 11.1822635
-15.77980648 11.19451081
-15.75471758 11.26871817
-15.71748471 11.30173941
-15.67190609 11.29646841
-15.65836687 11.28649486
-15.66720354 11.25786612
-15.68709896 11.2343275
-15.72513282 11.21549144

-15.90181454 11.46581208
-15.94873674 11.43444448
-15.99720924 11.44917227
-16.02317664 11.47712922
-16.01935259 11.52730703
-15.96452389 11.59831045
-15.91530209 11.58911205
-15.90181454 11.46581208

-15.55341203 11.5370222
-15.56276547 11.51376781
-15.61960954 11.53350821
-15.53656552 11.61763744
-15.48246029 11.63231354
-15.484424 11.5675113
-15.52620439 11.55386872
-15.55341203 11.5370222

-15.98640886 11.88201406
-16.03834368 11.75969595
-16.10242245 11.7731835
-16.14738095 11.84602143
-16.1524194 11.87679475
-16.02188473 11.88666494
-15.98640886 11.88201406

-13.67355262 12.47848928
-13.68238929 12.39340404
-13.70789161 12.31268545
-13.73008664 12.28080109
-13.75974891 12.26235261
-13.84945919 12.26299856
-13.88749305 12.24690135
-13.94730852 12.2152237
-13.94888465 12.1781717
-13.9011873 12.1428767
-13.86188738 12.093319
-13.81628292 12.05451
-13.73799313 12.00965485
-13.73065508 11.95983877
-13.72856218 11.83413585
-13.73277381 11.73602814
-13.95322547 11.66461131
-14.12231076 11.65195059
-14.26558367 11.65990876
-14.32782793 11.6297814
-14.45247148 11.55619416
-14.60481361 11.5115974
-14.68294837 11.50849681
-14.72025875 11.48190929
-14.77927324 11.40550568
-14.94443112 11.07214102
-14.99905311 10.99219758
-15.04302975 10.94015941
-15.09375017 11.01105948
-15.05457943 11.14195588
-15.09677324 11.14004385
-15.18108334 11.03421052
-15.22211443 11.03092906
-15.2166884 11.15624441
-15.26337806 11.16089529
-15.31750912 11.15200694
-15.39311174 11.21724844
-15.40057899 11.2662377
-15.39450701 11.33447643
-15.34841163 11.3780655
-15.35471615 11.39635895
-15.39918372 11.40147492
-15.44897396 11.38974437
-15.47951474 11.41031159
-15.42913021 11.498885
-15.25260352 11.57329906
-15.1637459 11.58094717
-15.07266618 11.59779369
-15.12240475 11.6615624
-15.23038266 11.68675467
-15.3166823 11.66921052
-15.35967709 11.62290843
-15.41300717 11.61526032
-15.50189063 11.72378083
-15.50023699 11.77835114
-15.46718991 11.84284333
-15.41569434 11.87178213
-15.21084896 11.87095531
-15.13312761 11.90733552
-15.10170834 11.9139501
-15.07194271 11.94702302
-15.07827308 11.9689855
-15.11152686 11.97027741
-15.18811133 11.92728262
-15.43476295 11.9435607
-15.51346615 11.91756745
-15.65066708 11.8183487
-15.81939063 11.76346833
-15.94176042 11.78661937
-15.90274472 11.91968618
-15.92023719 11.93777294
-15.95881365 11.95960623
-16.13841509 11.91728323
-16.27429827 11.97813223
-16.32806759 12.05161612
-16.31884335 12.14375519
-16.25473874 12.20607697
-16.24458432 12.23708283
-16.31233212 12.24302562
-16.43682064 12.20416494
-16.71179094 12.35485342
-16.65693641 12.36436188
-16.52133745 12.34865225
-16.41633094 12.36766918
-16.34230445 12.39950186
-16.24150957 12.44332347
-16.14420285 12.45743114
-15.83954444 12.43787161
-15.57478024 12.4904007
-15.37794471 12.58894766
-15.19609534 12.67994986
-14.96060584 12.678968
-14.70816647 12.67796031
-14.34922197 12.67643586
-14.06484656 12.67527314
-13.72925981 12.67390371
-13.73261878 12.59282339
-13.67355262 12.47848928

