# Meuse (Maas) catchment
4.367 49.750 6011000
4.367 49.767 6011000
4.358 49.767 6011000
4.358 49.783 6011000
4.367 49.783 6011000
4.367 49.792 6011000
4.383 49.792 6011000
4.383 49.800 6011000
4.392 49.800 6011000
4.392 49.808 6011000
4.400 49.808 6011000
4.400 49.817 6011000
4.417 49.817 6011000
4.417 49.833 6011000
4.383 49.833 6011000
4.383 49.842 6011000
4.367 49.842 6011000
4.367 49.858 6011000
4.358 49.858 6011000
4.358 49.875 6011000
4.350 49.875 6011000
4.350 49.883 6011000
4.342 49.883 6011000
4.342 49.917 6011000
4.375 49.917 6011000
4.375 49.908 6011000
4.383 49.908 6011000
4.383 49.917 6011000
4.417 49.917 6011000
4.417 49.908 6011000
4.458 49.908 6011000
4.458 49.917 6011000
4.433 49.917 6011000
4.433 49.925 6011000
4.417 49.925 6011000
4.417 49.933 6011000
4.375 49.933 6011000
4.375 49.942 6011000
4.333 49.942 6011000
4.333 49.950 6011000
4.342 49.950 6011000
4.342 49.958 6011000
4.358 49.958 6011000
4.358 49.967 6011000
4.367 49.967 6011000
4.367 49.983 6011000
4.358 49.983 6011000
4.358 50.008 6011000
4.350 50.008 6011000
4.350 50.000 6011000
4.333 50.000 6011000
4.333 50.008 6011000
4.225 50.008 6011000
4.225 50.017 6011000
4.217 50.017 6011000
4.217 50.025 6011000
4.208 50.025 6011000
4.208 50.033 6011000
4.133 50.033 6011000
4.133 50.025 6011000
4.125 50.025 6011000
4.125 50.017 6011000
4.108 50.017 6011000
4.108 50.008 6011000
4.083 50.008 6011000
4.083 49.992 6011000
4.033 49.992 6011000
4.033 49.983 6011000
4.025 49.983 6011000
4.025 49.975 6011000
3.950 49.975 6011000
3.950 49.983 6011000
3.925 49.983 6011000
3.925 49.992 6011000
3.892 49.992 6011000
3.892 50.000 6011000
3.858 50.000 6011000
3.858 50.008 6011000
3.825 50.008 6011000
3.825 50.000 6011000
3.725 50.000 6011000
3.725 49.992 6011000
3.708 49.992 6011000
3.708 50.000 6011000
3.667 50.000 6011000
3.667 50.008 6011000
3.633 50.008 6011000
3.633 50.017 6011000
3.625 50.017 6011000
3.625 50.008 6011000
3.617 50.008 6011000
3.608 50.008 6011000
3.608 50.017 6011000
3.600 50.017 6011000
3.600 50.025 6011000
3.592 50.025 6011000
3.592 50.033 6011000
3.583 50.033 6011000
3.583 50.042 6011000
3.575 50.042 6011000
3.575 50.050 6011000
3.592 50.050 6011000
3.592 50.058 6011000
3.617 50.058 6011000
3.617 50.075 6011000
3.608 50.075 6011000
3.608 50.117 6011000
3.617 50.117 6011000
3.617 50.125 6011000
3.625 50.125 6011000
3.625 50.133 6011000
3.650 50.133 6011000
3.650 50.142 6011000
3.675 50.142 6011000
3.675 50.150 6011000
3.683 50.150 6011000
3.683 50.158 6011000
3.692 50.158 6011000
3.692 50.183 6011000
3.708 50.183 6011000
3.708 50.192 6011000
3.733 50.192 6011000
3.733 50.200 6011000
3.742 50.200 6011000
3.742 50.208 6011000
3.750 50.208 6011000
3.750 50.250 6011000
3.817 50.250 6011000
3.817 50.258 6011000
3.825 50.258 6011000
3.825 50.267 6011000
3.833 50.267 6011000
3.833 50.275 6011000
3.875 50.275 6011000
3.875 50.292 6011000
3.883 50.292 6011000
3.883 50.308 6011000
3.892 50.308 6011000
3.892 50.317 6011000
3.925 50.317 6011000
3.925 50.308 6011000
3.975 50.308 6011000
3.975 50.300 6011000
3.983 50.300 6011000
3.983 50.292 6011000
4.000 50.292 6011000
4.000 50.300 6011000
4.033 50.300 6011000
4.033 50.308 6011000
4.050 50.308 6011000
4.050 50.300 6011000
4.058 50.300 6011000
4.058 50.308 6011000
4.083 50.308 6011000
4.083 50.317 6011000
4.100 50.317 6011000
4.100 50.325 6011000
4.108 50.325 6011000
4.108 50.333 6011000
4.125 50.333 6011000
4.125 50.342 6011000
4.142 50.342 6011000
4.142 50.350 6011000
4.150 50.350 6011000
4.150 50.358 6011000
4.158 50.358 6011000
4.158 50.367 6011000
4.192 50.367 6011000
4.192 50.375 6011000
4.233 50.375 6011000
4.233 50.383 6011000
4.267 50.383 6011000
4.267 50.392 6011000
4.292 50.392 6011000
4.292 50.425 6011000
4.283 50.425 6011000
4.283 50.467 6011000
4.275 50.467 6011000
4.275 50.475 6011000
4.283 50.475 6011000
4.283 50.483 6011000
4.275 50.483 6011000
4.275 50.492 6011000
4.283 50.492 6011000
4.283 50.508 6011000
4.308 50.508 6011000
4.308 50.517 6011000
4.317 50.517 6011000
4.317 50.525 6011000
4.325 50.525 6011000
4.325 50.533 6011000
4.342 50.533 6011000
4.342 50.558 6011000
4.350 50.558 6011000
4.350 50.567 6011000
4.400 50.567 6011000
4.400 50.558 6011000
4.433 50.558 6011000
4.433 50.567 6011000
4.442 50.567 6011000
4.442 50.558 6011000
4.450 50.558 6011000
4.450 50.542 6011000
4.458 50.542 6011000
4.458 50.533 6011000
4.508 50.533 6011000
4.508 50.542 6011000
4.525 50.542 6011000
4.525 50.533 6011000
4.575 50.533 6011000
4.575 50.542 6011000
4.583 50.542 6011000
4.583 50.550 6011000
4.600 50.550 6011000
4.600 50.542 6011000
4.650 50.542 6011000
4.650 50.558 6011000
4.667 50.558 6011000
4.667 50.575 6011000
4.683 50.575 6011000
4.683 50.583 6011000
4.692 50.583 6011000
4.692 50.592 6011000
4.708 50.592 6011000
4.708 50.608 6011000
4.767 50.608 6011000
4.767 50.600 6011000
4.792 50.600 6011000
4.792 50.583 6011000
4.800 50.583 6011000
